Model,Metric,test_mean,test_std,test_min,test_max,train_mean,train_std,overfitting_gap
Logistic Regression (Optimized),accuracy,0.9666666666666668,0.031180478223116186,0.9166666666666666,1.0,0.98125,0.007795119555779065,0.01458333333333317
Logistic Regression (Optimized),precision,0.9718518518518519,0.025402115851084844,0.9333333333333332,1.0,0.98143532095145,0.007836756922629582,0.009583469099598174
Logistic Regression (Optimized),recall,0.9666666666666668,0.031180478223116186,0.9166666666666666,1.0,0.98125,0.007795119555779065,0.01458333333333317
Logistic Regression (Optimized),f1,0.9663367569249923,0.03162306668752773,0.9153439153439153,1.0,0.9812474562474562,0.007796479628112066,0.014910699322463916
Decision Tree (Optimized),accuracy,0.95,0.016666666666666698,0.9166666666666666,0.9583333333333334,1.0,0.0,0.050000000000000044
Decision Tree (Optimized),precision,0.9570370370370369,0.011851851851851869,0.9333333333333332,0.9629629629629629,1.0,0.0,0.04296296296296309
Decision Tree (Optimized),recall,0.95,0.016666666666666698,0.9166666666666666,0.9583333333333334,1.0,0.0,0.050000000000000044
Decision Tree (Optimized),f1,0.9496047307812013,0.017130407718643027,0.9153439153439153,0.9581699346405229,1.0,0.0,0.050395269218798666
Random Forest (Optimized),accuracy,0.9666666666666668,0.031180478223116186,0.9166666666666666,1.0,0.9854166666666666,0.008333333333333354,0.018749999999999822
Random Forest (Optimized),precision,0.9718518518518519,0.025402115851084844,0.9333333333333332,1.0,0.9857248960190137,0.008193418148387144,0.013873044167161841
Random Forest (Optimized),recall,0.9666666666666668,0.031180478223116186,0.9166666666666666,1.0,0.9854166666666666,0.008333333333333354,0.018749999999999822
Random Forest (Optimized),f1,0.9663367569249923,0.03162306668752773,0.9153439153439153,1.0,0.985412084928214,0.008336137022274362,0.019075328003221648
Support Vector Machine (Optimized),accuracy,0.975,0.020412414523193135,0.9583333333333334,1.0,0.9729166666666667,0.00510310363079827,-0.002083333333333326
Support Vector Machine (Optimized),precision,0.9777777777777776,0.018144368465060606,0.9629629629629629,1.0,0.9745373496417139,0.004858996612399729,-0.0032404281360637333
Support Vector Machine (Optimized),recall,0.975,0.020412414523193135,0.9583333333333334,1.0,0.9729166666666667,0.00510310363079827,-0.002083333333333326
Support Vector Machine (Optimized),f1,0.9749019607843138,0.02049246320759781,0.9581699346405229,1.0,0.9728794681363409,0.005116896973814519,-0.00202249264797294
K-Nearest Neighbors (Optimized),accuracy,0.9666666666666668,0.016666666666666653,0.9583333333333334,1.0,0.9625,0.014129854131510971,-0.004166666666666763
K-Nearest Neighbors (Optimized),precision,0.9703703703703702,0.014814814814814836,0.9629629629629629,1.0,0.9635276100193002,0.013803269280057952,-0.00684276035107001
K-Nearest Neighbors (Optimized),recall,0.9666666666666668,0.016666666666666653,0.9583333333333334,1.0,0.9625,0.014129854131510971,-0.004166666666666763
K-Nearest Neighbors (Optimized),f1,0.9665359477124185,0.016732026143790834,0.9581699346405229,1.0,0.9624622986978647,0.014153790520638566,-0.00407364901455376
